S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
226,Deshbandhu College,B.A. (Hons.) Economics,4,1,0,6,0,0,4
227,Deshbandhu College,B.A. (Hons.) English,3,1,0,0,3,0,4
228,Deshbandhu College,B.A. (Hons.) Hindi,0,15,7,6,8,0,4
229,Deshbandhu College,B.A. (Hons.) History,1,0,0,0,3,0,6
230,Deshbandhu College,B.A. (Hons.) Political Science,1,2,0,0,1,0,8
231,Deshbandhu College,B.A. (Hons.) Sanskrit,15,16,12,6,7,0,4
232,Deshbandhu College,B.Com (Hons.),2,0,0,0,0,0,3
233,Deshbandhu College,B.Sc (Prog.) Life Science,1,3,3,3,1,0,4
234,Deshbandhu College,B.Sc (Hons.) Bio-Chemistry,2,1,0,0,0,0,1
235,Deshbandhu College,B.Sc (Hons.) Botany,2,7,2,4,5,0,4
236,Deshbandhu College,B.Sc (Hons.) Chemistry,2,3,0,2,1,0,2
237,Deshbandhu College,B.Sc (Hons.) Mathematics,5,12,0,8,6,0,6
238,Deshbandhu College,B.Sc (Hons.) Physics,8,8,3,5,2,0,4
239,Deshbandhu College,B.Sc (Hons.) Zoology,3,9,1,3,2,0,4
240,Deshbandhu College,B.Sc (Prog.) Physical Science with Chemistry,17,14,12,12,9,0,8
241,Deshbandhu College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,1,2,1,6,0,0,4
242,Deshbandhu College,B.Sc (Prog.) Applied Physical Sciences with Industrial Chemistry,13,15,9,6,5,0,4
243,Deshbandhu College,B.A Program (English + Economics),0,0,0,0,0,0,1
244,Deshbandhu College,B.A Program (English + History),0,0,0,0,1,0,0
245,Deshbandhu College,B.A Program (English + Mathematics),0,0,0,0,0,0,1
246,Deshbandhu College,B.A Program (English + Political Science),1,0,0,0,0,0,1
247,Deshbandhu College,B.A Program (English + Philosophy),0,0,0,0,1,0,0
248,Deshbandhu College,B.A Program (Hindi + History),0,0,0,1,0,0,0
249,Deshbandhu College,B.A Program (Hindi + Philosophy),0,0,0,0,0,0,0
250,Deshbandhu College,B.A Program (Hindi + Political Science),0,0,0,0,0,0,1
251,Deshbandhu College,B.A Program (Sanskrit + History),0,0,1,2,0,0,0
252,Deshbandhu College,B.A Program (Sanskrit + Philosophy),1,1,1,0,0,0,0
253,Deshbandhu College,B.A Program (Economics + History),0,0,0,0,0,0,1
254,Deshbandhu College,B.A Program (Economics + Mathematics),0,0,0,0,0,0,1
255,Deshbandhu College,B.A Program (Economics + Philosophy),0,0,0,0,0,0,0
256,Deshbandhu College,B.A Program (Economics + Political Science),0,0,0,0,0,0,1
257,Deshbandhu College,B.A Program (History + Mathematics),0,0,0,0,0,0,0
258,Deshbandhu College,B.A Program (History + Philosophy),0,0,0,0,0,0,0
259,Deshbandhu College,B.A Program (History + Political Science),1,0,0,0,0,0,2
260,Deshbandhu College,B.A Program (Mathematics + Philosophy),0,0,0,0,1,0,0
261,Deshbandhu College,B.A Program (Mathematics + Political Science),0,0,0,0,1,0,0
262,Deshbandhu College,B.A Program (Philosophy + Political Science),0,0,0,0,0,0,0
263,Deshbandhu College,B.A Program (Bengali + History),2,2,0,0,0,0,0
264,Deshbandhu College,B.A Program (Bengali + Political Science),0,1,0,0,1,0,0
265,Deshbandhu College,B.A Program (Punjabi + History),0,1,0,0,1,0,0
266,Deshbandhu College,B.A Program (Hindi + Economics),0,0,0,0,0,0,0
267,Deshbandhu College,B.A Program (Sanskrit + Economics),1,1,0,0,0,0,0
268,Deshbandhu College,B.A Program (Punjabi + Political Science),0,1,0,0,1,0,0
269,Deshbandhu College,B.A Program (Sindhi + History),1,1,1,1,0,0,0
270,Deshbandhu College,B.A Program (Sanskrit + Political Science),0,1,1,1,0,0,0
271,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Applied Psychology,3,0,0,0,0,0,2
272,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Geography,0,0,0,0,4,0,4
273,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Hindi Patrakarita,2,11,3,6,7,0,4
274,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) History,2,1,0,4,2,0,3
275,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Social Work,7,4,3,4,7,0,4
276,Dr. Bhim Rao Ambedkar College,B.Com,9,1,0,9,0,0,12
277,Dr. Bhim Rao Ambedkar College,B.Com (Hons.),6,0,0,8,0,0,8
278,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Economics,1,7,1,5,1,0,3
279,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Hindi,0,12,6,5,5,0,3
280,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Business Economics,11,10,1,6,0,0,4
281,Dr. Bhim Rao Ambedkar College,B.A Program (English + History),2,1,1,0,2,0,1
282,Dr. Bhim Rao Ambedkar College,B.A Program (English + Psychology),2,1,0,0,1,0,1
283,Dr. Bhim Rao Ambedkar College,B.A Program (Hindi + History),1,1,1,0,3,0,1
284,Dr. Bhim Rao Ambedkar College,B.A Program (Hindi + Political Science),0,2,0,2,4,0,1
285,Dr. Bhim Rao Ambedkar College,B.A Program (Sanskrit + OMSP),3,2,2,1,1,0,0
286,Dr. Bhim Rao Ambedkar College,B.A Program (Sanskrit + Political Science),0,1,2,1,1,0,1
287,Dr. Bhim Rao Ambedkar College,B.A Program (Urdu + History),1,3,3,1,1,0,1
288,Dr. Bhim Rao Ambedkar College,B.A Program (Urdu + Political Science),1,3,2,1,1,0,1
289,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + Geography),2,3,1,2,1,0,1
290,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + Human Resource Management (HRM)),0,0,0,1,0,0,1
291,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + Mathematics),4,2,2,3,3,0,1
292,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + OMSP),1,3,0,2,0,0,1
293,Dr. Bhim Rao Ambedkar College,B.A Program (Geography + Psychology),1,1,0,0,0,0,1
294,Dr. Bhim Rao Ambedkar College,B.A Program (History + Political Science),2,0,0,0,1,0,3
295,Dr. Bhim Rao Ambedkar College,B.A Program (Human Resource Management (HRM) + Mathematics),1,1,2,1,0,0,1
296,Dr. Bhim Rao Ambedkar College,B.A Program (Human Resource Management (HRM) + Psychology),0,0,0,0,0,0,1
