S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
28,Aditi Mahavidyalaya (W),B.A Program (Economics + Mathematics),4,3,2,1,2,0,1
29,Aditi Mahavidyalaya (W),B.A Program (Economics + Psychology),5,4,3,2,2,0,1
30,Aditi Mahavidyalaya (W),B.A Program (Food Technology (FT) + Geography),9,9,4,2,2,0,1
31,Aditi Mahavidyalaya (W),B.A Program (Geography + History),6,4,3,0,2,0,2
32,Aditi Mahavidyalaya (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),12,10,6,2,4,0,1
33,Aditi Mahavidyalaya (W),B.A Program (Mathematics + Psychology),10,10,4,2,2,0,2
34,Aditi Mahavidyalaya (W),B.A Program (Music + Sociology),11,10,4,2,1,0,2
35,Aditi Mahavidyalaya (W),B.A Program (NHE + Sociology),11,8,4,2,3,0,2
36,Aditi Mahavidyalaya (W),B.A Program (Office Management & Secretarial Practice (OMSP) + Sociology),12,10,4,2,2,0,2
37,Aditi Mahavidyalaya (W),B.A Program (Political Science + Sociology),8,8,6,2,5,0,3
38,Aditi Mahavidyalaya (W),B.A Program (Economics + Food Technology),6,5,4,2,3,0,1
39,Aditi Mahavidyalaya (W),B.A Program (Education + Political Science),13,10,3,2,3,0,1
40,Aditi Mahavidyalaya (W),B.A Program (Education + Human Development and Family Empowerment (HDFE)),7,4,2,1,2,0,1
41,Aditi Mahavidyalaya (W),B.A Program (Education + Geography),8,5,2,2,3,0,1
